序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音
10296,鬥智,精熟,第7級,,3,0,"[['鬥智', ['7847']]]",ㄉㄡˋ ㄓˋ,dòuzhì
10297,獨霸,精熟,第7級,,3,1,"[['獨霸', ['9222']]]",ㄉㄨˊ ㄅㄚˋ,dúbà
10298,渡船,精熟,第7級,,3,1,"[['渡船', ['9360']]]",ㄉㄨˋ ㄔㄨㄢˊ,dùchuán
10299,獨創,精熟,第7級,,3,2,"[['獨創', ['9262']]]",ㄉㄨˊ ㄔㄨㄤˋ,dúchuàng
10300,督促,精熟,第7級,,5,5,"[['督促', ['9201']]]",ㄉㄨ ㄘㄨˋ,dūcù
10301,獨當一面,精熟,第7級,,3,2,"[['獨當一面', ['9233']]]",ㄉㄨˊ ㄉㄤ ㄧˊ ㄇㄧㄢˋ,dúdāngyímiàn
10302,督導,精熟,第7級,,5,1,"[['督導', ['9194']]]",ㄉㄨ ㄉㄠˇ,dūdǎo
10303,篤定,精熟,第7級,,6,5,"[['篤定', ['9318']]]",ㄉㄨˇ ㄉㄧㄥˋ,dǔdìng
10304,獨斷,精熟,第7級,,3,0,"[['獨斷', ['9234']]]",ㄉㄨˊ ㄉㄨㄢˋ,dúduàn
10305,毒害,精熟,第7級,,4,3,"[['毒害', ['9206']]]",ㄉㄨˊ ㄏㄞˋ,dúhài
10306,都會,精熟,第7級,,4,8,"[['都會', ['9184']]]",ㄉㄨ ㄏㄨㄟˋ,dūhuì
10307,妒忌,精熟,第7級,,3,1,"[['妒忌', ['9342']]]",ㄉㄨˋ ㄐㄧˋ,dùjì
10308,鍍金,精熟,第7級,,3,1,"[['鍍金', ['9362']]]",ㄉㄨˋ ㄐㄧㄣ,dùjīn
10309,獨居,精熟,第7級,,4,13,"[['獨居', ['9251']]]",ㄉㄨˊ ㄐㄩ,dújū
10310,獨具,精熟,第7級,,4,1,[],ㄉㄨˊ ㄐㄩˋ,dújù
10311,杜絕,精熟,第7級,,4,2,"[['杜絕', ['9328']]]",ㄉㄨˋ ㄐㄩㄝˊ,dùjué
10312,獨門,精熟,第7級,,3,2,"[['獨門', ['9226']]]",ㄉㄨˊ ㄇㄣˊ,dúmén
10313,嘟囔,精熟,第7級,,2,0,"[['嘟囔', ['9192']]]",ㄉㄨ ˙ㄋㄤ,dūnang
10314,嘟噥,精熟,第7級,,3,0,[],ㄉㄨ ˙ㄋㄨㄥ,dūnong
10315,賭氣,精熟,第7級,,4,2,"[['賭氣', ['9310']]]",ㄉㄨˇ ㄑㄧˋ,dǔqì
10316,獨身,精熟,第7級,,3,0,"[['獨身', ['9264']]]",ㄉㄨˊ ㄕㄣ,dúshēn
10317,賭徒,精熟,第7級,,4,0,"[['賭徒', ['9306']]]",ㄉㄨˇ ㄊㄨˊ,dǔtú
10318,獨享,精熟,第7級,,2,1,"[['獨享', ['9254']]]",ㄉㄨˊ ㄒㄧㄤˇ,dúxiǎng
10319,篤信,精熟,第7級,,3,3,"[['篤信', ['9320']]]",ㄉㄨˇ ㄒㄧㄣˋ,dǔxìn
10320,獨行,精熟,第7級,,3,1,"[['獨行', ['9255']]]",ㄉㄨˊ ㄒㄧㄥˊ,dúxíng
10321,獨佔/獨占,精熟,第7級,,8,3,[],ㄉㄨˊ ㄓㄢˋ,dúzhàn
10322,杜撰,精熟,第7級,,3,1,"[['杜撰', ['9331']]]",ㄉㄨˋ ㄓㄨㄢˋ,dùzhuàn
10323,端倪,精熟,第7級,,5,3,"[['端倪', ['9574']]]",ㄉㄨㄢ ㄋㄧˊ,duānní
10324,斷氣,精熟,第7級,,3,1,"[['斷氣', ['9652']]]",ㄉㄨㄢˋ ㄑㄧˋ,duànqì
10325,端視,精熟,第7級,,3,0,[],ㄉㄨㄢ ㄕˋ,duānshì
10326,斷送,精熟,第7級,,3,0,"[['斷送', ['9664']]]",ㄉㄨㄢˋ ㄙㄨㄥˋ,duànsòng
10327,端詳,精熟,第7級,,9,2,"[['端詳', ['9577']]]",ㄉㄨㄢ ㄒㄧㄤˊ,duānxiáng
10328,斷言,精熟,第7級,,5,1,"[['斷言', ['9667']]]",ㄉㄨㄢˋ ㄧㄢˊ,duànyán
10329,端正,精熟,第7級,,5,2,"[['端正', ['9578']]]",ㄉㄨㄢ ㄓㄥˋ,duānzhèng
10330,端莊,精熟,第7級,,4,2,"[['端莊', ['9579']]]",ㄉㄨㄢ ㄓㄨㄤ,duānzhuāng
10331,堆疊,精熟,第7級,,4,4,"[['堆疊', ['9478']]]",ㄉㄨㄟ ㄉㄧㄝˊ,duīdié
10332,對聯,精熟,第7級,,6,2,"[['對聯', ['9526']]]",ㄉㄨㄟˋ ㄌㄧㄢˊ,duìlián
10333,堆砌,精熟,第7級,,2,1,"[['堆砌', ['9481']]]",ㄉㄨㄟ ㄑㄧˋ,duīqì
10334,對望,精熟,第7級,,3,1,[],ㄉㄨㄟˋ ㄨㄤˋ,duìwàng
10335,兌現,精熟,第7級,,4,3,"[['兌現', ['9489']]]",ㄉㄨㄟˋ ㄒㄧㄢˋ,duìxiàn
10336,對症下藥,精熟,第7級,,4,2,"[['對症下藥', ['9549']]]",ㄉㄨㄟˋ ㄓㄥˋ ㄒㄧㄚˋ ㄧㄠˋ,duìzhèngxiàyào
10337,鈍,精熟,第7級,,3,2,"[['鈍', ['9692']]]",ㄉㄨㄣˋ,dùn
10338,敦促,精熟,第7級,,3,4,"[['敦促', ['9680']]]",ㄉㄨㄣ ㄘㄨˋ,dūncù
10339,敦厚,精熟,第7級,,3,0,"[['敦厚', ['9676']]]",ㄉㄨㄣ ㄏㄡˋ,dūnhòu
10340,盾牌,精熟,第7級,,3,3,"[['盾牌', ['9708']]]",ㄉㄨㄣˋ ㄆㄞˊ,dùnpái
10341,頓悟,精熟,第7級,,6,2,"[['頓悟', ['9704']]]",ㄉㄨㄣˋ ㄨˋ,dùnwù
10342,舵,精熟,第7級,,3,1,"[['舵', ['9467']]]",ㄉㄨㄛˋ,duò
