序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音
3413,和好,進階,第5級,6.社交、人際,4,2,"[['和好', ['19026']]]",ㄏㄜˊ ㄏㄠˇ,héhǎo
3414,荷花,進階,第5級,13.自然環境,4,0,"[['荷花', ['19138']]]",ㄏㄜˊ ㄏㄨㄚ,héhuā
3415,合計,進階,第5級,核心詞,5,2,"[['合計', ['19065']]]",ㄏㄜˊ ㄐㄧˋ,héjì
3416,何況,進階,第5級,核心詞,34,7,"[['何況', ['19106']]]",ㄏㄜˊ ㄎㄨㄤˋ,hékuàng
3417,河流,進階,第5級,5.交通、旅遊,14,42,"[['河流', ['19127']]]",ㄏㄜˊ ㄌㄧㄡˊ,héliú
3418,核能,進階,第5級,17.科技,5,45,"[['核能', ['19154']]]",ㄏㄜˊ ㄋㄥˊ,hénéng
3419,和諧,進階,第5級,核心詞,31,19,"[['和諧', ['19032']]]",ㄏㄜˊ ㄒㄧㄝˊ,héxié
3420,核心,進階,第5級,核心詞,58,23,"[['核心', ['19160']]]",ㄏㄜˊ ㄒㄧㄣ,héxīn
3421,嘿,進階,第5級,核心詞,20,11,"[['嘿', ['19371']]]",ㄏㄟ,hēi
3422,黑白,進階,第5級,核心詞,10,11,[],ㄏㄟ ㄅㄞˊ,hēibái
3423,黑心,進階,第5級,12.安全,2,3,"[['黑心', ['19356']]]",ㄏㄟ ㄒㄧㄣ,hēixīn
3424,黑夜,進階,第5級,核心詞,18,7,"[['黑夜', ['19368']]]",ㄏㄟ ㄧㄝˋ,hēiyè
3425,痕跡,進階,第5級,13.自然環境,23,28,"[['痕跡', ['19754']]]",ㄏㄣˊ ㄐㄧ,hénjī
3426,橫1,進階,第5級,核心詞,21,11,"[['橫', ['19817', '19846']]]",ㄏㄥˊ,héng
3427,哼,進階,第5級,核心詞,28,7,"[['哼', ['19806']]]",ㄏㄥ,hēng
3428,後代,進階,第5級,1.個人資料,24,23,"[['後代', ['19562']]]",ㄏㄡˋ ㄉㄞˋ,hòudài
3429,後悔,進階,第5級,16.情緒、態度,29,23,"[['後悔', ['19576']]]",ㄏㄡˋ ㄏㄨㄟˇ,hòuhuǐ
3430,吼叫,進階,第5級,16.情緒、態度,7,1,"[['吼叫', ['19535']]]",ㄏㄡˇ ㄐㄧㄠˋ,hǒujiào
3431,後世,進階,第5級,8.教育、學習,18,5,"[['後世', ['19589']]]",ㄏㄡˋ ㄕˋ,hòushì
3432,後退,進階,第5級,核心詞,8,2,"[['後退', ['19568']]]",ㄏㄡˋ ㄊㄨㄟˋ,hòutuì
3433,後者,進階,第5級,核心詞,42,2,[],ㄏㄡˋㄓㄜˇ,hòuzhě
3434,壺,進階,第5級,10.餐飲、烹飪,21,55,"[['壺', ['19944']]]",ㄏㄨˊ,hú
3435,戶,進階,第5級,2.日常起居,40,66,"[['戶', ['19988']]]",ㄏㄨˋ,hù
3436,蝴蝶,進階,第5級,13.自然環境,22,42,"[['蝴蝶', ['19931']]]",ㄏㄨˊ ㄉㄧㄝˊ,húdié
3437,狐狸,進階,第5級,13.自然環境,22,2,"[['狐狸', ['19887']]]",ㄏㄨˊ ˙ㄌㄧ,húli
3438,忽視,進階,第5級,核心詞,24,11,"[['忽視', ['19876']]]",ㄏㄨ ㄕˋ,hūshì
3439,胡說,進階,第5級,核心詞,7,2,"[['胡說', ['19911']]]",ㄏㄨˊ ㄕㄨㄛ,húshuō
3440,戶頭,進階,第5級,11.公共服務,3,2,"[['戶頭', ['19990']]]",ㄏㄨˋ ㄊㄡˊ,hùtóu
3441,互助,進階,第5級,6.社交、人際,7,13,"[['互助', ['19985']]]",ㄏㄨˋ ㄓㄨˋ,hùzhù
3442,划,進階,第5級,5.交通、旅遊,10,4,"[['划', ['20110']]]",ㄏㄨㄚˊ,huá
3443,劃,進階,第5級,核心詞,9,7,"[['劃', ['20161', '20232']]]",ㄏㄨㄚˋ,huà
3444,滑動,進階,第5級,7.身體、醫療,5,10,[],ㄏㄨㄚˊ ㄉㄨㄥˋ,huádòng
3445,花朵,進階,第5級,13.自然環境,29,11,[],ㄏㄨㄚ ㄉㄨㄛˇ,huāduǒ
3446,華僑,進階,第5級,1.個人資料,6,6,"[['華僑', ['20122']]]",ㄏㄨㄚˊ ㄑㄧㄠˊ,huáqiáo
3447,華人,進階,第5級,1.個人資料,24,28,"[['華人', ['20126']]]",ㄏㄨㄚˊ ㄖㄣˊ,huárén
3448,滑鼠,進階,第5級,核心詞,5,3,"[['滑鼠', ['20156']]]",ㄏㄨㄚˊ ㄕㄨˇ,huáshǔ
3449,划算,進階,第5級,核心詞,3,4,"[['划算', ['20114']]]",ㄏㄨㄚˊ ㄙㄨㄢˋ,huásuàn
3450,花心,進階,第5級,6.社交、人際,2,1,"[['花心', ['20081']]]",ㄏㄨㄚ ㄒㄧㄣ,huāxīn
3451,化學,進階,第5級,8.教育、學習,57,164,"[['化學', ['20175']]]",ㄏㄨㄚˋ ㄒㄩㄝˊ,huàxué
3452,華裔,進階,第5級,1.個人資料,6,2,"[['華裔', ['20130']]]",ㄏㄨㄚˊ ㄧˋ,huáyì
3453,懷抱,進階,第5級,核心詞,18,10,"[['懷抱', ['20444']]]",ㄏㄨㄞˊ ㄅㄠˋ,huáibào
3454,壞蛋,進階,第5級,12.安全,10,3,"[['壞蛋', ['20458']]]",ㄏㄨㄞˋ ㄉㄢˋ,huàidàn
3455,懷念,進階,第5級,16.情緒、態度,19,12,"[['懷念', ['20446']]]",ㄏㄨㄞˊ ㄋㄧㄢˋ,huáiniàn
3456,懷孕,進階,第5級,1.個人資料,35,16,"[['懷孕', ['20455']]]",ㄏㄨㄞˊ ㄩㄣˋ,huáiyùn
3457,患病,進階,第5級,7.身體、醫療,5,2,"[['患病', ['20834']]]",ㄏㄨㄢˋ ㄅㄧㄥˋ,huànbìng
3458,歡樂,進階,第5級,核心詞,27,11,"[['歡樂', ['20722']]]",ㄏㄨㄢ ㄌㄜˋ,huānlè
3459,緩慢,進階,第5級,核心詞,27,15,"[['緩慢', ['20782']]]",ㄏㄨㄢˇ ㄇㄢˋ,huǎnmàn
3460,歡喜,進階,第5級,核心詞,24,35,"[['歡喜', ['20726']]]",ㄏㄨㄢ ㄒㄧˇ,huānxǐ
3461,幻想,進階,第5級,核心詞,37,5,"[['幻想', ['20801']]]",ㄏㄨㄢˋ ㄒㄧㄤˇ,huànxiǎng
3462,歡笑,進階,第5級,核心詞,9,5,"[['歡笑', ['20728']]]",ㄏㄨㄢ ㄒㄧㄠˋ,huānxiào
3463,患者/病患,進階,第5級,7.身體、醫療,189,106,"[['患者', ['20839']], ['病患', ['1844']]]",ㄏㄨㄢˋ ㄓㄜˇ/ㄅㄧㄥˋ ㄏㄨㄢˋ,huànzhě/bìnghuàn
3464,皇帝,進階,第5級,15.文化,362,15,"[['皇帝', ['20954']]]",ㄏㄨㄤˊ ㄉㄧˋ,huángdì
3465,皇后,進階,第5級,15.文化,90,5,"[['皇后', ['20961']]]",ㄏㄨㄤˊ ㄏㄡˋ,huánghòu
3466,謊話,進階,第5級,核心詞,5,1,"[['謊話', ['21038']]]",ㄏㄨㄤˇ ㄏㄨㄚˋ,huǎnghuà
3467,黃昏,進階,第5級,核心詞,17,6,"[['黃昏', ['21007']]]",ㄏㄨㄤˊ ㄏㄨㄣ,huánghūn
3468,黃金,進階,第5級,11.公共服務,44,37,"[['黃金', ['21009']]]",ㄏㄨㄤˊ ㄐㄧㄣ,huángjīn
3469,揮,進階,第5級,核心詞,22,7,"[['揮', ['20486']]]",ㄏㄨㄟ,huī
3470,灰,進階,第5級,核心詞,31,17,"[['灰', ['20466']]]",ㄏㄨㄟ,huī
3471,回復/回覆,進階,第5級,核心詞,20,7,"[['回復', ['20520']], ['回覆', ['20521']]]",ㄏㄨㄟˊ ㄈㄨˋ,huífù
3472,繪畫,進階,第5級,4.休閒、娛樂,24,15,"[['繪畫', ['20700']]]",ㄏㄨㄟˋ ㄏㄨㄚˋ,huìhuà
3473,匯款,進階,第5級,11.公共服務,1,1,"[['匯款', ['20646']]]",ㄏㄨㄟˋ ㄎㄨㄢˇ,huìkuǎn
3474,回味,進階,第5級,15.文化,6,4,"[['回味', ['20569']]]",ㄏㄨㄟˊ ㄨㄟˋ,huíwèi
3475,回憶,進階,第5級,15.文化,78,42,"[['回憶', ['20565']]]",ㄏㄨㄟˊ ㄧˋ,huíyì
3476,回應,進階,第5級,核心詞,72,33,"[['回應', ['20568']]]",ㄏㄨㄟˊ ㄧㄥˋ,huíyìng
3477,混,進階,第5級,10.餐飲、烹飪,28,17,"[['混', ['18808', '20903']]]",ㄏㄨㄣˋ,hùn
3478,昏,進階,第5級,7.身體、醫療,7,2,"[['昏', ['20846']]]",ㄏㄨㄣ,hūn
3479,葷,進階,第5級,10.餐飲、烹飪,3,15,"[['葷', ['20879', '28685']]]",ㄏㄨㄣ,hūn
3480,昏倒,進階,第5級,7.身體、醫療,7,9,"[['昏倒', ['20849']]]",ㄏㄨㄣ ㄉㄠˇ,hūndǎo
3481,混合,進階,第5級,10.餐飲、烹飪,22,17,"[['混合', ['20909']]]",ㄏㄨㄣˋ ㄏㄜˊ,hùnhé
3482,混亂,進階,第5級,核心詞,44,18,"[['混亂', ['20908']]]",ㄏㄨㄣˋ ㄌㄨㄢˋ,hùnluàn
3483,昏迷,進階,第5級,7.身體、醫療,11,3,"[['昏迷', ['20848']]]",ㄏㄨㄣ ㄇㄧˊ,hūnmí
3484,婚事,進階,第5級,1.個人資料,7,1,"[['婚事', ['20870']]]",ㄏㄨㄣ ㄕˋ,hūnshì
3485,夥伴/伙伴,進階,第5級,核心詞,49,47,"[['夥伴', ['20358']], ['伙伴', ['20353']]]",ㄏㄨㄛˇ ㄅㄢˋ ,huǒbàn
3486,貨車,進階,第5級,5.交通、旅遊,10,11,"[['貨車', ['20383']]]",ㄏㄨㄛˋ ㄔㄜ,huòchē
3487,獲得/獲,進階,第5級,8.教育、學習,225,120,"[['獲得', ['20418']], ['獲', ['20417']]]",ㄏㄨㄛˋ ㄉㄜˊ / ㄏㄨㄛˋ,huòdé/huò
3488,活該,進階,第5級,核心詞,4,1,"[['活該', ['20270']]]",ㄏㄨㄛˊ ㄍㄞ,huógāi
3489,火光,進階,第5級,核心詞,11,2,"[['火光', ['20307']]]",ㄏㄨㄛˇ ㄍㄨㄤ,huǒguāng
3490,獲利,進階,第5級,9.購物、商店,24,5,"[['獲利', ['20419']]]",ㄏㄨㄛˋ ㄌㄧˋ,huòlì
3491,火山,進階,第5級,13.自然環境,7,62,"[['火山', ['20338']]]",ㄏㄨㄛˇ ㄕㄢ,huǒshān
3492,獲勝,進階,第5級,4.休閒、娛樂,10,6,"[['獲勝', ['20428']]]",ㄏㄨㄛˋ ㄕㄥˋ,huòshèng
3493,活躍,進階,第5級,1.個人資料,23,15,"[['活躍', ['20288']]]",ㄏㄨㄛˊ ㄩㄝˋ,huóyuè
3494,火災,進階,第5級,12.安全,9,24,"[['火災', ['20343']]]",ㄏㄨㄛˇ ㄗㄞ,huǒzāi
3495,計,進階,第5級,核心詞,48,25,"[['計', ['21629']]]",ㄐㄧˋ,jì
3496,繫,進階,第5級,5.交通、旅遊,20,5,"[['繫', ['21712', '26463']]]",ㄐㄧˋ / ㄒㄧˋ,jì/xì
3497,擊敗,進階,第5級,4.休閒、娛樂,18,6,"[['擊敗', ['21507']]]",ㄐㄧˊ ㄅㄞˋ,jíbài
3498,祭拜,進階,第5級,15.文化,6,6,"[['祭拜', ['21675']]]",ㄐㄧˋ ㄅㄞˋ,jìbài
3499,基本,進階,第5級,核心詞,193,282,"[['基本', ['21174']]]",ㄐㄧ ㄅㄣˇ,jīběn
3500,疾病,進階,第5級,7.身體、醫療,122,111,"[['疾病', ['21455']]]",ㄐㄧˊ ㄅㄧㄥˋ,jíbìng
3501,繼承,進階,第5級,1.個人資料,49,12,"[['繼承', ['21718']]]",ㄐㄧˋ ㄔㄥˊ,jìchéng
3502,基地,進階,第5級,核心詞,23,27,"[['基地', ['21177']]]",ㄐㄧ ㄉㄧˋ,jīdì
3503,激動,進階,第5級,核心詞,42,12,"[['激動', ['21277']]]",ㄐㄧ ㄉㄨㄥˋ,jīdòng
3504,基督教,進階,第5級,1.個人資料,24,14,"[['基督教', ['21180']]]",ㄐㄧ ㄉㄨ ㄐㄧㄠˋ,jīdūjiào
3505,嫉妒/忌妒,進階,第5級,16.情緒、態度,31,8,"[['嫉妒', ['21467']]]",ㄐㄧˊ ㄉㄨˋ/ㄐㄧˋ ㄉㄨˋ,jídù/jìdù
3506,飢餓/饑餓,進階,第5級,7.身體、醫療,18,20,"[['飢餓', ['21169']]]",ㄐㄧ ㄜˋ,jīè
3507,機構,進階,第5級,3.職業,75,52,"[['機構', ['21230']]]",ㄐㄧ ㄍㄡˋ,jīgòu
3508,記號,進階,第5級,8.教育、學習,10,9,"[['記號', ['21605']]]",ㄐㄧˋ ㄏㄠˋ,jìhào
3509,集合,進階,第5級,核心詞,16,25,"[['集合', ['21483']]]",ㄐㄧˊ ㄏㄜˊ,jíhé
3510,基金,進階,第5級,11.公共服務,27,18,"[['基金', ['21181']]]",ㄐㄧ ㄐㄧㄣ,jījīn
3511,急救,進階,第5級,7.身體、醫療,7,13,"[['急救', ['21431']]]",ㄐㄧˊ ㄐㄧㄡˋ,jíjiù
3512,機率,進階,第5級,核心詞,59,32,"[['機率', ['21229']]]",ㄐㄧ ㄌㄩˋ,jīlǜ
3513,寂寞,進階,第5級,核心詞,39,10,"[['寂寞', ['21472']]]",ㄐㄧˊ ㄇㄛˋ,jímò
3514,技能,進階,第5級,3.職業,29,13,"[['技能', ['21560']]]",ㄐㄧˋ ㄋㄥˊ,jìnéng
3515,紀念品,進階,第5級,9.購物、商店,7,8,"[['紀念品', ['21586']]]",ㄐㄧˋ ㄋㄧㄢˋ ㄆㄧㄣˇ,jìniànpǐn
3516,肌肉,進階,第5級,7.身體、醫療,78,34,"[['肌肉', ['21161']]]",ㄐㄧ ㄖㄡˋ,jīròu
3517,集體,進階,第5級,8.教育、學習,30,14,"[['集體', ['21480']]]",ㄐㄧˊ ㄊㄧˇ,jítǐ
3518,集團,進階,第5級,3.職業,77,18,"[['集團', ['21482']]]",ㄐㄧˊ ㄊㄨㄢˊ,jítuán
3519,績效,進階,第5級,3.職業,24,2,"[['績效', ['21312']]]",ㄐㄧ ㄒㄧㄠˋ,jīxiào
3520,基因,進階,第5級,核心詞,77,62,"[['基因', ['21190']]]",ㄐㄧ ㄧㄣ,jīyīn
3521,既有,進階,第5級,核心詞,22,4,"[['既有', ['21651']]]",ㄐㄧˋ ㄧㄡˇ,jìyǒu
3522,記載,進階,第5級,8.教育、學習,69,44,"[['記載', ['21615']]]",ㄐㄧˋ ㄗㄞˋ,jìzài
3523,夾,進階,第5級,核心詞,37,22,"[['夾', ['21865']]]",ㄐㄧㄚˊ,jiá
3524,佳,進階,第5級,核心詞,33,22,"[['佳', ['21783']]]",ㄐㄧㄚ,jiā
3525,加倍,進階,第5級,核心詞,9,7,"[['加倍', ['21726']]]",ㄐㄧㄚ ㄅㄟˋ,jiābèi
3526,加工,進階,第5級,3.職業,19,34,"[['加工', ['21735']]]",ㄐㄧㄚ ㄍㄨㄥ,jiāgōng
3527,架構,進階,第5級,8.教育、學習,35,10,"[['架構', ['21934']]]",ㄐㄧㄚˋ ㄍㄡˋ,jiàgòu
3528,傢伙,進階,第5級,6.社交、人際,70,3,"[['傢伙', ['21863']]]",ㄐㄧㄚ ˙ㄏㄨㄛ,jiāhuo
3529,家家戶戶,進階,第5級,15.文化,5,11,"[['家家戶戶', ['21825']]]",ㄐㄧㄚ ㄐㄧㄚ ㄏㄨˋ ㄏㄨˋ,jiājiāhùhù
3530,佳節,進階,第5級,15.文化,2,1,"[['佳節', ['21789']]]",ㄐㄧㄚ ㄐㄧㄝˊ,jiājié
3531,家境,進階,第5級,1.個人資料,7,9,"[['家境', ['21828']]]",ㄐㄧㄚ ㄐㄧㄥˋ,jiājìng
3532,假使,進階,第5級,核心詞,11,9,"[['假使', ['21921']]]",ㄐㄧㄚˇ ㄕˇ,jiǎshǐ
3533,駕駛/駕,進階,第5級,5.交通、旅遊,45,23,"[['駕駛', ['21948']], ['駕', ['21941']]]",ㄐㄧㄚˋ ㄕˇ/ㄐㄧㄚˋ,jiàshǐ/jià
3534,家屬,進階,第5級,7.身體、醫療,21,48,"[['家屬', ['21849']]]",ㄐㄧㄚ ㄕㄨˇ,jiāshǔ
3535,加速,進階,第5級,核心詞,29,21,"[['加速', ['21756']]]",ㄐㄧㄚ ㄙㄨˋ,jiāsù
3536,家園,進階,第5級,5.交通、旅遊,12,40,"[['家園', ['21860']]]",ㄐㄧㄚ ㄩㄢˊ,jiāyuán
3537,價值觀,進階,第5級,1.個人資料,29,21,"[['價值觀', ['21971']]]",ㄐㄧㄚˋ ㄓˊ ㄍㄨㄢ,jiàzhíguān
3538,家族,進階,第5級,1.個人資料,92,42,"[['家族', ['21852']]]",ㄐㄧㄚ ㄗㄨˊ,jiāzú
3539,劍,進階,第5級,15.文化,52,10,"[['劍', ['23112']]]",ㄐㄧㄢˋ,jiàn
3540,箭,進階,第5級,15.文化,48,7,"[['箭', ['23105']]]",ㄐㄧㄢˋ,jiàn
3541,撿,進階,第5級,核心詞,18,60,"[['撿', ['22910']]]",ㄐㄧㄢˇ,jiǎn
3542,肩膀/肩,進階,第5級,7.身體、醫療,100,28,"[['肩膀', ['22766']], ['肩', ['22765']]]",ㄐㄧㄢ ㄅㄤˇ/ㄐㄧㄢ,jiānbǎng/jiān
3543,簡便,進階,第5級,核心詞,4,1,"[['簡便', ['22944']]]",ㄐㄧㄢˇ ㄅㄧㄢˋ,jiǎnbiàn
3544,簡稱,進階,第5級,核心詞,12,8,"[['簡稱', ['22960']]]",ㄐㄧㄢˇ ㄔㄥ,jiǎnchēng
3545,堅持,進階,第5級,核心詞,119,132,"[['堅持', ['22809']]]",ㄐㄧㄢ ㄔˊ,jiānchí
3546,減低,進階,第5級,核心詞,16,8,"[['減低', ['22889']]]",ㄐㄧㄢˇ ㄉㄧ,jiǎndī
3547,堅定,進階,第5級,1.個人資料,37,28,"[['堅定', ['22800']]]",ㄐㄧㄢ ㄉㄧㄥˋ,jiāndìng
3548,監督,進階,第5級,3.職業,21,11,"[['監督', ['22834']]]",ㄐㄧㄢ ㄉㄨ,jiāndū
3549,簡短,進階,第5級,核心詞,15,3,"[['簡短', ['22950']]]",ㄐㄧㄢˇ ㄉㄨㄢˇ,jiǎnduǎn
3550,堅固,進階,第5級,核心詞,12,16,"[['堅固', ['22801']]]",ㄐㄧㄢ ㄍㄨˋ,jiāngù
3551,尖叫,進階,第5級,核心詞,23,2,"[['尖叫', ['22751']]]",ㄐㄧㄢ ㄐㄧㄠˋ,jiānjiào
3552,見解,進階,第5級,8.教育、學習,22,5,"[['見解', ['22985']]]",ㄐㄧㄢˋ ㄐㄧㄝˇ,jiànjiě
3553,間接,進階,第5級,核心詞,18,13,"[['間接', ['23061']]]",ㄐㄧㄢˋ ㄐㄧㄝ,jiànjiē
3554,簡介,進階,第5級,8.教育、學習,17,3,"[['簡介', ['22957']]]",ㄐㄧㄢˇ ㄐㄧㄝˋ,jiǎnjiè
3555,堅決,進階,第5級,16.情緒、態度,26,6,"[['堅決', ['22805']]]",ㄐㄧㄢ ㄐㄩㄝˊ,jiānjué
3556,建立,進階,第5級,3.職業,217,82,"[['建立', ['23009']]]",ㄐㄧㄢˋ ㄌㄧˋ,jiànlì
3557,艱難,進階,第5級,核心詞,22,18,"[['艱難', ['22854']]]",ㄐㄧㄢ ㄋㄢˊ,jiānnán
3558,鍵盤,進階,第5級,核心詞,15,4,"[['鍵盤', ['23053']]]",ㄐㄧㄢˋ ㄆㄢˊ,jiànpán
3559,堅強,進階,第5級,16.情緒、態度,27,28,"[['堅強', ['22806']]]",ㄐㄧㄢ ㄑㄧㄤˊ,jiānqiáng
3560,減輕,進階,第5級,核心詞,29,21,"[['減輕', ['22893']]]",ㄐㄧㄢˇ ㄑㄧㄥ,jiǎnqīng
3561,健全,進階,第5級,7.身體、醫療,20,13,"[['健全', ['23041']]]",ㄐㄧㄢˋ ㄑㄩㄢˊ,jiànquán
3562,建設,進階,第5級,3.職業,36,41,"[['建設', ['23020']]]",ㄐㄧㄢˋ ㄕㄜˋ,jiànshè
3563,見識,進階,第5級,核心詞,17,3,"[['見識', ['22995']]]",ㄐㄧㄢˋ ㄕˋ,jiànshì
3564,監視,進階,第5級,12.安全,17,6,"[['監視', ['22845']]]",ㄐㄧㄢ ㄕˋ,jiānshì
3565,檢討,進階,第5級,核心詞,27,14,"[['檢討', ['22921']]]",ㄐㄧㄢˇ ㄊㄠˇ,jiǎntǎo
3566,箭頭,進階,第5級,核心詞,5,2,[],ㄐㄧㄢˋ ㄊㄡˊ,jiàntóu
3567,檢驗,進階,第5級,核心詞,32,22,"[['檢驗', ['22936']]]",ㄐㄧㄢˇ ㄧㄢˋ,jiǎnyàn
3568,建造,進階,第5級,核心詞,30,33,"[['建造', ['23024']]]",ㄐㄧㄢˋ ㄗㄠˋ,jiànzào
3569,兼職,進階,第5級,3.職業,4,3,"[['兼職', ['22785']]]",ㄐㄧㄢ ㄓˊ,jiānzhí
3570,降1,進階,第5級,核心詞,37,52,"[['降', ['23507', '28008']]]",ㄐㄧㄤˋ,jiàng
3571,薑,進階,第5級,10.餐飲、烹飪,8,18,"[['薑', ['23452']]]",ㄐㄧㄤ,jiāng
3572,降價,進階,第5級,9.購物、商店,4,1,"[['降價', ['23520']]]",ㄐㄧㄤˋ ㄐㄧㄚˋ,jiàngjià
3573,講解,進階,第5級,8.教育、學習,6,8,"[['講解', ['23490']]]",ㄐㄧㄤˇ ㄐㄧㄝˇ,jiǎngjiě
3574,獎金,進階,第5級,3.職業,13,8,"[['獎金', ['23472']]]",ㄐㄧㄤˇ ㄐㄧㄣ,jiǎngjīn
3575,講究,進階,第5級,核心詞,21,19,"[['講究', ['23492']]]",ㄐㄧㄤˇ ㄐㄧㄡˋ,jiǎngjiù
3576,獎勵,進階,第5級,3.職業,23,9,"[['獎勵', ['23471']]]",ㄐㄧㄤˇ ㄌㄧˋ,jiǎnglì
3577,降落,進階,第5級,5.交通、旅遊,10,8,"[['降落', ['23513']]]",ㄐㄧㄤˋ ㄌㄨㄛˋ,jiàngluò
3578,講台/講臺,進階,第5級,8.教育、學習,7,3,[],ㄐㄧㄤˇ ㄊㄞˊ ,jiǎngtái
3579,講義,進階,第5級,8.教育、學習,5,6,"[['講義', ['23501']]]",ㄐㄧㄤˇ ㄧˋ,jiǎngyì
3580,將,進階,第5級,核心詞,1518,718,"[['將', ['23427', '23531', '25430']]]",ㄐㄧㄤ/ㄐㄧㄤˋ/ㄑㄧㄤ,jiāng/jiàng/qiāng
3581,攪,進階,第5級,10.餐飲、烹飪,6,11,"[['攪', ['22491']]]",ㄐㄧㄠˇ,jiǎo
3582,角,進階,第5級,核心詞,40,37,"[['角', ['22425', '24115']]]",ㄐㄧㄠˇ / ㄐㄩㄝˊ,jiǎo/jué
3583,驕傲,進階,第5級,16.情緒、態度,33,32,"[['驕傲', ['22420']]]",ㄐㄧㄠ ㄠˋ,jiāoào
3584,教材,進階,第5級,8.教育、學習,14,12,"[['教材', ['22554']]]",ㄐㄧㄠˋ ㄘㄞˊ,jiàocái
3585,交代,進階,第5級,核心詞,24,21,"[['交代', ['22298']]]",ㄐㄧㄠ ㄉㄞˋ,jiāodài
3586,教導,進階,第5級,核心詞,73,46,"[['教導', ['22528']]]",ㄐㄧㄠˋ ㄉㄠˇ,jiàodǎo
3587,焦點,進階,第5級,8.教育、學習,38,38,"[['焦點', ['22356']]]",ㄐㄧㄠ ㄉㄧㄢˇ,jiāodiǎn
3588,角度,進階,第5級,8.教育、學習,94,120,"[['角度', ['22428']]]",ㄐㄧㄠˇ ㄉㄨˋ,jiǎodù
3589,教會,進階,第5級,15.文化,39,32,"[['教會', ['22540']]]",ㄐㄧㄠˋ ㄏㄨㄟˋ,jiàohuì
3590,腳尖,進階,第5級,7.身體、醫療,7,1,[],ㄐㄧㄠˇㄐㄧㄢ,jiǎojiān
3591,教練,進階,第5級,4.休閒、娛樂,46,38,"[['教練', ['22533']]]",ㄐㄧㄠˋ ㄌㄧㄢˋ,jiàoliàn
3592,焦慮,進階,第5級,核心詞,72,14,"[['焦慮', ['22360']]]",ㄐㄧㄠ ㄌㄩˋ,jiāolǜ
3593,角落,進階,第5級,核心詞,44,40,"[['角落', ['22430']]]",ㄐㄧㄠˇ ㄌㄨㄛˋ,jiǎoluò
3594,交談,進階,第5級,核心詞,40,6,"[['交談', ['22300']]]",ㄐㄧㄠ ㄊㄢˊ,jiāotán
3595,教徒,進階,第5級,15.文化,8,11,"[['教徒', ['22532']]]",ㄐㄧㄠˋ ㄊㄨˊ,jiàotú
3596,交往,進階,第5級,6.社交、人際,28,9,"[['交往', ['22338']]]",ㄐㄧㄠ ㄨㄤˇ,jiāowǎng
3597,教訓,進階,第5級,核心詞,36,12,"[['教訓', ['22546']]]",ㄐㄧㄠˋ ㄒㄩㄣˋ,jiàoxùn
3598,交易,進階,第5級,3.職業,38,15,"[['交易', ['22334']]]",ㄐㄧㄠ ㄧˋ,jiāoyì
3599,腳印,進階,第5級,核心詞,10,11,[],ㄐㄧㄠˇ ㄧㄣˋ,jiǎoyìn
3600,交友,進階,第5級,1.個人資料,4,3,[],ㄐㄧㄠ ㄧㄡˇ,jiāoyǒu
3601,教育部,進階,第5級,14.社會,12,8,[],ㄐㄧㄠˋ ㄩˋ ㄅㄨˋ,jiàoyùbù
3602,結,進階,第5級,核心詞,32,39,"[['結', ['22042', '22065']]]",ㄐㄧㄝˊ,jié
3603,屆,進階,第5級,核心詞,26,27,"[['屆', ['22258']]]",ㄐㄧㄝˋ,jiè
3604,戒,進階,第5級,12.安全,16,19,"[['戒', ['22246']]]",ㄐㄧㄝˋ,jiè
3605,皆,進階,第5級,核心詞,151,17,"[['皆', ['21973']]]",ㄐㄧㄝ,jiē
3606,傑出,進階,第5級,核心詞,32,10,"[['傑出', ['22115']]]",ㄐㄧㄝˊ ㄔㄨ,jiéchū
3607,解除,進階,第5級,12.安全,26,22,"[['解除', ['22212']]]",ㄐㄧㄝˇ ㄔㄨˊ,jiěchú
3608,解答,進階,第5級,8.教育、學習,20,16,"[['解答', ['22193']]]",ㄐㄧㄝˇ ㄉㄚˊ,jiědá
3609,接待,進階,第5級,10.餐飲、烹飪,18,8,"[['接待', ['21988']]]",ㄐㄧㄝ ㄉㄞˋ,jiēdài
3610,結構,進階,第5級,8.教育、學習,152,85,"[['結構', ['22076']]]",ㄐㄧㄝˊ ㄍㄡˋ,jiégòu
3611,階級,進階,第5級,14.社會,59,9,"[['階級', ['21978']]]",ㄐㄧㄝ ㄐㄧˊ,jiējí
3612,結局,進階,第5級,4.休閒、娛樂,27,6,"[['結局', ['22085']]]",ㄐㄧㄝˊ ㄐㄩˊ,jiéjú
3613,解開,進階,第5級,2.日常起居,25,25,"[['解開', ['22204']]]",ㄐㄧㄝˇ ㄎㄞ,jiěkāi
3614,解渴,進階,第5級,核心詞,3,8,"[['解渴', ['22203']]]",ㄐㄧㄝˇ ㄎㄜˇ,jiěkě
3615,藉口,進階,第5級,核心詞,32,10,"[['藉口', ['22281']]]",ㄐㄧㄝˋ ㄎㄡˇ,jièkǒu
3616,節能,進階,第5級,3.職業,1,43,[],ㄐㄧㄝˊ ㄋㄥˊ,jiénéng
3617,節省,進階,第5級,核心詞,16,34,"[['節省', ['22149']]]",ㄐㄧㄝˊ ㄕㄥˇ,jiéshěng
